Team,Position,Last Name,First Name,Overall
CAR,RDE,ealy,kony,79
CAR,SLB,thompson,shaq,75
CAR,MLB,kuechly,luke,99
CAR,LCB,bradberry,james,70
CAR,SS,coleman,kurt,87
CAR,FS,boston,tre,78
CAR,RCB,worley,daryl,68
CAR,PS,ball,marcus,65
CAR,PS,sanchez,zack,64
CAR,RES,alecxih,chas,60
CHI,LWR,jeffery,alshon,91
CHI,RWR,white,kevin,74
CHI,C,larsen,ted,67
CHI,RG,long,kyle,79
CHI,RT,massie,bobby,75
CHI,TE,miller,zach,78
CHI,QB,cutler,jay,80
CHI,RB,langford,jeremy,76
CHI,DE,hicks,akiem,78
CHI,NT,goldman,eddie,76
CHI,DE,unrein,mitch,68
CHI,LOLB,houston,lamarr,81
CHI,LILB,freeman,jerrell,86
CHI,RILB,trevathan,danny,85
CHI,ROLB,young,willie,82
CHI,LCB,porter,tracy,72
CHI,SS,jones-quartey,harold,71
CHI,FS,amos,adrian,77
CHI,RCB,fuller,kyle,80
CHI,PR,royal,eddie,77
CHI,PS,weaver,jason,65
CHI,RES,boykin,brandon,71
CHI,RES,barrow,lamin,64
CIN,RWR,lafell,brandon,77
CIN,LT,whitworth,andrew,93
CIN,LG,boling,clint,81
CIN,C,bodine,russell,69
CIN,RG,zeitler,kevin,89
CIN,RT,ogbuehi,cedric,74
CIN,TE,eifert,tyler,90
CIN,TE/HB,hewitt,ryan,74
CIN,QB,dalton,andy,87
CIN,RB,hill,jeremy,81
CIN,LDE,dunlap,carlos,87
CIN,NT,peko,domata,73
CIN,RDT,atkins,geno,94
CIN,RDE,johnson,michael,79
CIN,SLB,dansby,karlos,83
CIN,MLB,maualuga,rey,84
CIN,WLB,rey,vincent,75
CIN,LCB,kirkpatrick,dre,76
CIN,SS,williams,shawn,75
CIN,FS,iloka,george,84
CIN,RCB,jones,adam,88
CIN,PR,jones,adam,88
CIN,KR,jones,adam,88
CIN,PS,brown,ryan,59
CIN,RES,billings,andrew,67
CLE,LWR,coleman,corey,78
CLE,RWR,pryor,terrelle,60
CLE,LT,thomas,joe,97
CLE,RG,greco,john,77
CLE,RT,pasztor,austin,71
CLE,TE,barnidge,gary,84
CLE,QB,mccown,josh,71
CLE,RB,crowell,isaiah,76
CLE,RDE,cooper,xavier,62
CLE,NT,shelton,danny,72
CLE,OLB,ogbah,emmanuel,72
CLE,LILB,davis,demario,76
CLE,RILB,kirksey,christian,74
CLE,OLB,schobert,joe,65
CLE,LCB,haden,joe,86
CLE,SS,campbell,ibraheim,70
CLE,FS,poyer,jordan,70
CLE,RCB,taylor,jamar,70
CLE,PR,williams,tramon,80
CLE,RES,bryant,desmond,77
CLE,RES,winston,glenn,64
CLE,RES,bryant,armonty,70
DAL,LWR,bryant,dez,90
DAL,RWR,williams,terrance,80
DAL,LG,collins,la'el,78
DAL,C,frederick,travis,91
DAL,RT,free,doug,80
DAL,TE,witten,jason,87
DAL,QB,prescott,dak,71
DAL,RB,elliott,ezekiel,80
DAL,FB,smith,rod,66
DAL,LDE,crawford,jack,64
DAL,LDT,crawford,tyrone,80
DAL,RDT,mcclain,terrell,73
DAL,RDE,mayowa,benson,68
DAL,SLB,gachkar,andrew,71
DAL,MLB,hitchens,anthony,74
DAL,WLB,lee,sean,89
DAL,FS,jones,byron,81
DAL,SS,church,barry,82
DAL,NB,scandrick,orlando,87
DAL,PR,whitehead,lucky,71
DAL,KR,whitehead,lucky,71
DAL,PS,brendel,jake,60
DAL,SUS,lawrence,demarcus,81
DAL,RES,mcfadden,darren,79
DAL,RES,brown,chris,62
DEN,LWR,thomas,demaryius,87
DEN,RWR,sanders,emmanuel,88
DEN,LT,okung,russell,82
DEN,LG,garcia,max,70
DEN,C,paradis,matt,71
DEN,RG,schofield,michael,68
DEN,RT,stephenson,donald,72
DEN,TE,green,virgil,79
DEN,QB,siemian,trevor,60
DEN,LDE,wolfe,derek,86
DEN,NT,williams,sylvester,74
DEN,RDE,crick,jared,70
DEN,SLB,miller,von,99
DEN,ILB,marshall,brandon,90
DEN,ILB,davis,todd,64
DEN,WLB,ware,demarcus,86
DEN,LCB,talib,aqib,90
DEN,FS,stewart,darian,86
DEN,PR,norwood,jordan,70
DEN,KR,latimer,cody,68
DEN,PS,murray,justin,60
DEN,RES,brenner,sam,68
DET,RWR,jones,marvin,82
DET,LT,decker,taylor,76
DET,LG,tomlinson,laken,69
DET,C,swanson,travis,67
DET,RT,reiff,riley,83
DET,TE,ebron,eric,76
DET,QB,stafford,matthew,85
DET,RB,abdullah,ameer,78
DET,KR,abdullah,ameer,78
DET,LDE,taylor,devin,72
DET,LDT,walker,tyrunn,72
DET,RDT,ngata,haloti,82
DET,OLB,levy,deandre,87
DET,OLB,van noy,kyle,72
DET,LCB,slay,darius,90
DET,SS,wilson,tavon,73
DET,FS,quin,glover,83
DET,RCB,lawson,nevin,70
DET,KO,martin,sam,80
DET,RES,pettigrew,brandon,74
GB,LWR,nelson,jordy,89
GB,RWR,cobb,randall,86
GB,LT,bakhtiari,david,79
GB,LG,taylor,lane,67
GB,RT,bulaga,bryan,79
GB,TE,rodgers,richard,79
GB,QB,rodgers,aaron,96
GB,RB,lacy,eddie,83
GB,LDE,lowry,dean,65
GB,NT,guion,letroy,73
GB,DT,daniels,mike,92
GB,LOLB,peppers,julius,86
GB,LILB,ryan,jake,70
GB,MLB,martinez,blake,67
GB,ROLB,matthews,clay,89
GB,LCB,randall,damarious,76
GB,SS,burnett,morgan,85
GB,FS,clinton-dix,ha ha,83
GB,RCB,shields,sam,86
GB,PK,crosby,mason,81
GB,PR,hyde,micah,80
GB,KR,hyde,micah,80
GB,PS,allison,geronimo,61
GB,RES,kuder,tyler,58
GB,SUS,goodson,demetri,68
HOU,LWR,hopkins,deandre,93
HOU,LT,brown,duane,86
HOU,LG,su'a-filo,xavier,71
HOU,C,mancz,greg,63
HOU,RT,newton,derek,82
HOU,QB,osweiler,brock,77
HOU,RB,miller,lamar,88
HOU,NT,wilfork,vince,84
HOU,LDE,covington,christian,66
HOU,SLB,mercilus,whitney,88
HOU,LILB,cushing,brian,81
HOU,RILB,mckinney,benardrick,77
HOU,OLB,clowney,jadeveon,83
HOU,LCB,jackson,kareem,78
HOU,SS,demps,quintin,75
HOU,FS,hal,andre,77
HOU,RCB,joseph,johnathan,91
HOU,PR,ervin,tyler,67
HOU,KR,ervin,tyler,67
HOU,RES,martin,nick,73
IND,LWR,moncrief,donte,78
IND,LG,mewhort,jack,85
IND,C,kelly,ryan,76
IND,RT,reitz,joe,79
IND,TE,allen,dwayne,80
IND,QB,luck,andrew,88
IND,RB,gore,frank,79
IND,LDE,langford,kendall,80
IND,NT,parry,david,68
IND,DT,kerr,zach,73
IND,SLB,walden,erik,78
IND,ILB/M,jackson,d'qwell,79
IND,ILB/W,moore,sio,72
IND,OLB/R,mathis,robert,83
IND,LCB,robinson,patrick,78
IND,SS,adams,mike,78
IND,FS,geathers,clayton,70
IND,RCB,davis,vontae,91
IND,PR,bray,quan,64
IND,KR,bray,quan,64
IND,PS,bailey,sterling,59
IND,PS,quarles,kelcy,59
JAX,LWR,robinson,allen,88
JAX,RWR,hurns,allen,85
JAX,LT,beachum,kelvin,82
JAX,C,linder,brandon,77
JAX,RT,parnell,jermey,77
JAX,TE,lewis,marcedes,76
JAX,TE,thomas,julius,83
JAX,QB,bortles,blake,82
JAX,LDE,fowler jr.,dante,77
JAX,DT,jackson,malik,86
JAX,RDE,odrick,jared,78
JAX,OLB,smith,telvin,80
JAX,MLB,posluszny,paul,78
JAX,OLB,skuta,dan,79
JAX,LCB,house,davon,76
JAX,FS,gipson,tashaun,77
JAX,PR,greene,rashad,70
JAX,KR,grant,corey,59
JAX,PS,wynn,shane,52
JAX,RES,bowanko,luke,76
KC,LWR,maclin,jeremy,86
KC,RWR,conley,chris,70
KC,LT,fisher,eric,78
KC,LG,ehinger,parker,66
KC,C,morse,mitch,73
KC,RG,duvernay-tardif,laurent,73
KC,RT,schwartz,mitchell,86
KC,TE,kelce,travis,88
KC,QB,smith,alex,82
KC,FB,sherman,anthony,81
KC,RB,charles,jamaal,89
KC,LDE,howard,jaye,83
KC,NT,poe,dontari,85
KC,RDE,bailey,allen,79
KC,LOLB,ford,dee,73
KC,LILB,johnson,derrick,90
KC,ROLB,hali,tamba,90
KC,LCB,peters,marcus,82
KC,SS,berry,eric,93
KC,FS,parker,ron,81
KC,RCB,gaines,phillip,75
KC,P,colquitt,dustin,82
KC,PK,santos,cairo,76
KC,KO,santos,cairo,76
KC,PR,hill,tyreek,65
KC,KR,davis,knile,73
KC,PS,devey,jordan,65
RAM,LWR,britt,kenny,80
RAM,RWR,austin,tavon,80
RAM,LT,robinson,greg,77
RAM,C,barnes,tim,69
RAM,RG,brown,jamon,68
RAM,TE,harkey,cory,80
RAM,TE,kendricks,lance,75
RAM,QB,keenum,case,75
RAM,LDE,hayes,william,85
RAM,LDT,donald,aaron,98
RAM,RDT,brockers,michael,79
RAM,RDE,quinn,robert,89
RAM,MLB,ogletree,alec,79
RAM,WS,barron,mark,75
RAM,LCB,johnson,trumaine,80
RAM,RCB,sensabaugh,coty,71
RAM,CB,joyner,lamarcus,75
RAM,KR,cunningham,benny,74
RAM,PS,battle,isaiah,68
RAM,PS,arkin,david,63
RAM,RES,north,marquez,63
MIA,LWR,parker,devante,77
MIA,RWR,stills,kenny,74
MIA,SWR,landry,jarvis,87
MIA,PR,landry,jarvis,87
MIA,LG,tunsil,laremy,78
MIA,C,pouncey,mike,81
MIA,RG,bushrod,jermon,81
MIA,TE,cameron,jordan,81
MIA,QB,tannehill,ryan,79
MIA,RB,foster,arian,81
MIA,LDE,wake,cameron,89
MIA,LDT,suh,ndamukong,93
MIA,RDT,mitchell,earl,74
MIA,RDE,williams,mario,81
MIA,WLB,jenkins,jelani,78
MIA,MLB,alonso,kiko,76
MIA,SLB,misi,koa,85
MIA,LCB,maxwell,byron,76
MIA,SS,jones,reshad,93
MIA,FS,abdul-quddus,isa,76
MIA,RCB,howard,xavien,72
MIA,KR,grant,jakeem,66
MIA,RES,ekpre-olomu,ifo,67
MIN,LWR,diggs,stefon,79
MIN,RWR,johnson,charles,74
MIN,LT,kalil,matt,80
MIN,LG,boone,alex,81
MIN,C,berger,joe,83
MIN,RT,smith,andre,77
MIN,TE,rudolph,kyle,81
MIN,QB,hill,shaun,68
MIN,RB,peterson,adrian,91
MIN,LDE,robison,brian,79
MIN,NT,joseph,linval,89
MIN,DT,floyd,sharrif,83
MIN,RDE,griffen,everson,88
MIN,SLB,barr,anthony,88
MIN,MLB,kendricks,eric,76
MIN,WLB,greenway,chad,78
MIN,LCB,newman,terence,80
MIN,SS,sendejo,andrew,78
MIN,FS,smith,harrison,94
MIN,RCB,rhodes,xavier,80
MIN,PR,sherels,marcus,69
MIN,KR,patterson,cordarrelle,70
MIN,PS,beavers,willie,69
NE,LWR,amendola,danny,83
NE,RWR,edelman,julian,89
NE,PR,edelman,julian,89
NE,LT,solder,nate,84
NE,LG,thuney,joe,70
NE,C,andrews,david,71
NE,RG,karras,ted,66
NE,RT,cannon,marcus,74
NE,TE,gronkowski,rob,99
NE,TE,bennett,martellus,85
NE,QB,garoppolo,jimmy,72
NE,RB,blount,legarrette,81
NE,RB,white,james,75
NE,LDE,long,chris,77
NE,DT,branch,alan,77
NE,DT,brown,malcom,71
NE,RDE,sheard,jabaal,88
NE,SLB,collins,jamie,88
NE,MLB,hightower,dont'a,90
NE,WLB,freeny,jonathan,69
NE,LCB,butler,malcolm,85
NE,SS,chung,patrick,86
NE,FS,mccourty,devin,91
NE,RCB,ryan,logan,84
NE,KR,slater,matthew,69
NE,RES,lewis,dion,80
NE,SUS,brady,tom,94
NO,LWR,coleman,brandon,69
NO,RWR,cooks,brandin,83
NO,LG,lelito,tim,77
NO,RT,strief,zach,82
NO,TE,fleener,coby,84
NO,QB,brees,drew,90
NO,RB,ingram,mark,83
NO,DT,davison,tyeler,68
NO,DT,fairley,nick,79
NO,RDE,jordan,cameron,90
NO,SLB,anthony,stephone,74
NO,MLB,laurinaitis,james,73
NO,WLB,ellerbe,dannell,77
NO,LCB,breaux,delvin,82
NO,SS,vaccaro,kenny,80
NO,FS,byrd,jairus,83
NO,PR,murphy,marcus,67
NO,KR,murphy,marcus,67
NO,PS,allen,jack,59
NO,PS,lampman,jake,61
NO,RES,swann,damian,68
NYG,LWR,beckham jr.,odell,93
NYG,RWR,shepard,sterling,74
NYG,WR,cruz,victor,81
NYG,LT,flowers,ereck,76
NYG,LG,pugh,justin,84
NYG,C,richburg,weston,88
NYG,RG,jerry,john,73
NYG,RT,newhouse,marshall,70
NYG,TE,donnell,larry,76
NYG,QB,manning,eli,81
NYG,RB,jennings,rashad,80
NYG,LDE,pierre-paul,jason,85
NYG,LDT,harrison,damon,84
NYG,RDT,hankins,johnathan,81
NYG,RDE,vernon,olivier,91
NYG,SLB,kennard,devon,78
NYG,MLB,sheppard,kelvin,68
NYG,WLB,casillas,jonathan,71
NYG,LCB,rodgers-cromartie,dominique,87
NYG,SS,collins,landon,75
NYG,FS,berhe,nat,66
NYG,RCB,jenkins,janoris,85
NYG,PK,brown,josh,83
NYG,PR,harris,dwayne,73
NYG,KR,harris,dwayne,73
NYG,PS,maponga,stansly,65
NYG,RES,johnson,will,82
NYJ,LWR,marshall,brandon,89
NYJ,RWR,decker,eric,87
NYJ,LT,clady,ryan,84
NYJ,LG,carpenter,james,79
NYJ,C,mangold,nick,83
NYJ,RG,winters,brian,70
NYJ,RT,ijalana,ben,69
NYJ,TE,davis,kellen,69
NYJ,QB,fitzpatrick,ryan,79
NYJ,RB,forte,matt,86
NYJ,LDE,williams,leonard,81
NYJ,NT,mclendon,steve,78
NYJ,RDE,wilkerson,muhammad,89
NYJ,OLB,richardson,sheldon,86
NYJ,ILB,henderson,erin,75
NYJ,ILB,harris,david,81
NYJ,OLB,jenkins,jordan,69
NYJ,LCB,revis,darrelle,91
NYJ,FS,gilchrist,marcus,82
NYJ,RCB,skrine,buster,75
NYJ,PS,watts,craig,63
OAK,LWR,crabtree,michael,83
OAK,RWR,cooper,amari,83
OAK,LT,penn,donald,87
OAK,LG,osemele,kelechi,89
OAK,C,hudson,rodney,85
OAK,RG,jackson,gabe,83
OAK,RT,watson,menelik,73
OAK,TE,smith,lee,75
OAK,QB,carr,derek,83
OAK,RB,murray,latavius,81
OAK,RDE,ward,jihad,71
OAK,LDT,williams,dan,88
OAK,NT,ellis,justin,71
OAK,LDE,mack,khalil,94
OAK,SLB,irvin,bruce,81
OAK,MLB,heeney,ben,70
OAK,WLB,smith,malcolm,71
OAK,LCB,amerson,david,84
OAK,SS,allen,nate,77
OAK,FS,nelson,reggie,87
OAK,RCB,smith,sean,88
OAK,KR,jones,taiwan,73
PHI,LWR,huff,josh,70
PHI,KR,huff,josh,70
PHI,RWR,agholor,nelson,72
PHI,LT,peters,jason,87
PHI,LG,barbre,allen,71
PHI,C,kelce,jason,85
PHI,RG,brooks,brandon,80
PHI,RT,johnson,lane,86
PHI,TE,celek,brent,79
PHI,QB,wentz,carson,76
PHI,RB,mathews,ryan,82
PHI,RDE,graham,brandon,92
PHI,RDT,cox,fletcher,93
PHI,LDT,logan,bennie,78
PHI,LDE,barwin,connor,84
PHI,SLB,bradham,nigel,76
PHI,MLB,hicks,jordan,74
PHI,WLB,kendricks,mychal,85
PHI,LCB,mckelvin,leodis,73
PHI,S,jenkins,malcolm,93
PHI,LS,dorenbos,jon,44
PHI,H,jones,donnie,79
PHI,PR,sproles,darren,81
PHI,PS,greene,darrell,59
PHI,RES,wujciak,connor,60
PIT,LWR,brown,antonio,97
PIT,PR,brown,antonio,97
PIT,RWR,wheaton,markus,76
PIT,LT,villanueva,alejandro,70
PIT,LG,foster,ramon,82
PIT,C,pouncey,maurkice,88
PIT,RG,decastro,david,84
PIT,RT,gilbert,marcus,83
PIT,TE,james,jesse,67
PIT,QB,roethlisberger,ben,93
PIT,RB,williams,deangelo,81
PIT,LDE,heyward,cameron,88
PIT,NT,hargrave,javon,68
PIT,RDE,tuitt,stephon,78
PIT,LOLB,moats,arthur,78
PIT,LILB,shazier,ryan,79
PIT,RILB,timmons,lawrence,78
PIT,ROLB,jones,jarvis,73
PIT,LCB,gay,william,82
PIT,SS,golden,robert,74
PIT,FS,mitchell,mike,84
PIT,RCB,cockrell,ross,73
PIT,KR,coates,sammie,70
SD,LWR,benjamin,travis,78
SD,PR,benjamin,travis,78
SD,LT,dunlap,king,82
SD,LG,franklin,orlando,72
SD,C,slauson,matt,84
SD,RT,barksdale,joe,80
SD,TE,gates,antonio,85
SD,QB,rivers,philip,84
SD,RB,gordon,melvin,76
SD,LDE,philon,darius,65
SD,NT,mebane,brandon,80
SD,DT,liuget,corey,80
SD,LOLB,ingram,melvin,86
SD,LILB,te'o,manti,75
SD,RILB,perryman,denzel,76
SD,ROLB,emanuel,kyle,69
SD,LCB,flowers,brandon,78
SD,SS,addae,jahleel,74
SD,FS,lowery,dwight,79
SD,RCB,verrett,jason,88
SD,KR,mager,craig,69
SD,RES,clark,donavon,61
SEA,LWR,baldwin,doug,89
SEA,RWR,kearse,jermaine,80
SEA,LT,sowell,bradley,74
SEA,LG,glowinski,mark,69
SEA,C,britt,justin,71
SEA,RG,ifedi,germain,75
SEA,RT,gilliam,garry,72
SEA,TE,graham,jimmy,89
SEA,TE,willson,luke,78
SEA,QB,wilson,russell,91
SEA,RB,michael,christine,71
SEA,LDE,bennett,michael,91
SEA,LDT,rubin,ahtyba,74
SEA,RDE,avril,cliff,90
SEA,MLB,wagner,bobby,88
SEA,LCB,sherman,richard,92
SEA,SS,chancellor,kam,91
SEA,RCB,lane,jeremy,77
SEA,PS,smith,tye,62
SEA,PS,williams,kasen,63
SEA,RES,barnes,tavaris,62
SEA,RES,madden,tre,63
SF,LWR,smith,torrey,78
SF,RWR,patton,quinton,70
SF,LG,beadles,zane,73
SF,C,kilgore,daniel,71
SF,RG,davis,anthony,78
SF,RT,brown,trent,65
SF,TE,mcdonald,vance,78
SF,QB,gabbert,blaine,74
SF,RB,hyde,carlos,81
SF,LDT,armstead,arik,77
SF,NT,purcell,mike,64
SF,RDT,dial,quinton,70
SF,LOLB,brooks,ahmad,74
SF,RILB,bowman,navorro,88
SF,LCB,brock,tramaine,81
SF,SS,bethea,antoine,77
SF,FS,reid,eric,77
SF,RCB,ward,jimmie,75
SF,PK,dawson,phil,80
SF,LS,nelson,kyle,44
SF,PS,taylor,kelvin,67
SF,RES,williams,ian,82
TB,LWR,jackson,vincent,82
TB,RWR,evans,mike,86
TB,LT,smith,donovan,77
TB,LG,pamphile,kevin,71
TB,C,hawley,joe,67
TB,RG,marpet,ali,77
TB,RT,dotson,demar,78
TB,TE,brate,cameron,75
TB,TE,stocker,luke,73
TB,QB,winston,jameis,82
TB,RB,martin,doug,90
TB,LDE,gholston,william,78
TB,LDT,mccoy,gerald,92
TB,RDT,mcdonald,clinton,77
TB,SLB,smith,daryl,82
TB,MLB,alexander,kwon,76
TB,WLB,david,lavonte,86
TB,LCB,grimes,brent,85
TB,SS,conte,chris,76
TB,RCB,verner,alterraun,75
TB,H,anger,bryan,82
TB,KO,aguayo,roberto,79
TB,KR,smith,ryan,64
TB,PS,allen,josh,62
TB,RES,johnson,george,70
TEN,LWR,matthews,rishard,79
TEN,RWR,sharpe,tajae,69
TEN,LT,lewan,taylor,83
TEN,LG,spain,quinton,68
TEN,C,jones,ben,74
TEN,RG,warmack,chance,75
TEN,RT,conklin,jack,79
TEN,TE,walker,delanie,93
TEN,TE,fasano,anthony,80
TEN,QB,mariota,marcus,79
TEN,RB,murray,demarco,83
TEN,LDE,jones,daquan,68
TEN,NT,woods,al,74
TEN,DT,casey,jurrell,93
TEN,LOLB,morgan,derrick,81
TEN,LILB,woodyard,wesley,87
TEN,RILB,williamson,avery,78
TEN,ROLB,orakpo,brian,87
TEN,LCB,cox,perrish,78
TEN,SS,searcy,da'norris,85
TEN,FS,johnson,rashad,82
TEN,RCB,mccourty,jason,80
TEN,P,kern,brett,85
TEN,H,kern,brett,85
TEN,PK,succop,ryan,81
TEN,KO,succop,ryan,81
TEN,LS,brinkley,beau,46
TEN,PS,cunningham,jerome,66
TEN,PS,mcbride,tre,65
TEN,RES,bell,byron,70
WAS,LWR,garcon,pierre,81
WAS,RWR,jackson,desean,84
WAS,SWR,crowder,jamison,74
WAS,PR,crowder,jamison,74
WAS,LT,williams,trent,92
WAS,LG,lauvao,shawn,74
WAS,C,lichtensteiger,kory,71
WAS,RG,scherff,brandon,78
WAS,RT,moses,morgan,78
WAS,TE,reed,jordan,89
WAS,QB,cousins,kirk,83
WAS,RB,jones,matt,77
WAS,LDE,hood,ziggy,70
WAS,NT,golston,kedric,71
WAS,RDE,baker,chris,81
WAS,WLB,kerrigan,ryan,88
WAS,LILB,compton,will,70
WAS,RILB,foster,mason,72
WAS,SLB,smith,preston,77
WAS,LCB,norman,josh,94
WAS,FS,hall,deangelo,82
WAS,RCB,breeland,bashaud,81
WAS,KR,ross,rashad,63
WAS,RES,galette,junior,80
